timestamp_ms,shunt_voltage_mV,bus_voltage_V,current_mA,power_mW,workload_state,status
3796,0.332500,5.090000,33.000,167.500,0,OK
3816,0.330000,5.090000,32.750,167.500,0,OK
3836,0.330000,5.085000,33.000,167.500,0,OK
3856,0.330000,5.088750,33.000,167.500,0,OK
3876,0.332500,5.091250,33.250,170.000,0,OK
3896,0.327500,5.088750,32.750,166.250,0,OK
3916,0.330000,5.090000,33.000,167.500,0,OK
3936,0.330000,5.088750,33.000,167.500,0,OK
3956,0.330000,5.088750,32.750,166.250,0,OK
3976,0.327500,5.090000,33.000,167.500,0,OK
3996,0.330000,5.088750,33.250,167.500,0,OK
4016,0.330000,5.085000,33.000,167.500,0,OK
4036,0.330000,5.090000,33.000,167.500,0,OK
4056,0.330000,5.088750,33.000,167.500,0,OK
4076,0.327500,5.090000,32.750,166.250,0,OK
4096,0.330000,5.088750,33.000,167.500,0,OK
4116,0.335000,5.088750,33.000,167.500,0,OK
4136,0.332500,5.088750,33.000,167.500,0,OK
4156,0.327500,5.088750,32.750,166.250,0,OK
4176,0.330000,5.088750,33.000,167.500,0,OK
4196,0.332500,5.088750,33.250,170.000,0,OK
4216,0.330000,5.090000,33.000,167.500,0,OK
4236,0.330000,5.088750,33.000,167.500,0,OK
4256,0.330000,5.088750,33.000,167.500,0,OK
4276,0.330000,5.090000,33.000,167.500,0,OK
4296,0.330000,5.090000,33.250,170.000,0,OK
4316,0.330000,5.088750,33.250,170.000,0,OK
4336,0.327500,5.088750,33.000,166.250,0,OK
4356,0.330000,5.088750,33.000,167.500,0,OK
4376,0.330000,5.090000,33.000,167.500,0,OK
4396,0.330000,5.090000,33.000,167.500,0,OK
4416,0.327500,5.088750,32.750,166.250,0,OK
4436,0.327500,5.088750,32.750,166.250,0,OK
4456,0.327500,5.088750,32.750,166.250,0,OK
4476,0.327500,5.090000,32.750,166.250,0,OK
4496,0.327500,5.090000,33.000,167.500,0,OK
4516,0.330000,5.090000,33.000,167.500,0,OK
4536,0.327500,5.085000,32.750,166.250,0,OK
4556,0.332500,5.090000,33.250,170.000,0,OK
4576,0.330000,5.088750,33.000,167.500,0,OK
4596,0.330000,5.088750,33.000,167.500,0,OK
4616,0.330000,5.088750,33.000,167.500,0,OK
4636,0.335000,5.090000,33.000,167.500,0,OK
4656,0.327500,5.090000,33.000,167.500,0,OK
4676,0.332500,5.088750,33.250,167.500,0,OK
4696,0.332500,5.088750,33.250,167.500,0,OK
4716,0.330000,5.086250,33.000,167.500,0,OK
4736,0.330000,5.088750,33.000,167.500,0,OK
4756,0.330000,5.088750,33.000,167.500,0,OK
4776,0.330000,5.088750,33.000,167.500,0,OK
4796,0.332500,5.091250,33.250,170.000,0,OK
4816,0.327500,5.091250,32.750,166.250,0,OK
4836,0.330000,5.090000,33.250,170.000,0,OK
4856,0.327500,5.088750,33.000,166.250,0,OK
4876,0.332500,5.090000,33.250,170.000,0,OK
4896,0.332500,5.090000,33.250,170.000,0,OK
4916,0.330000,5.088750,33.000,167.500,0,OK
4936,0.330000,5.088750,33.000,167.500,0,OK
4956,0.330000,5.090000,33.000,167.500,0,OK
4976,0.332500,5.090000,33.250,170.000,0,OK
4996,0.330000,5.090000,32.750,166.250,0,OK
5016,0.332500,5.090000,33.000,167.500,0,OK
5036,0.332500,5.090000,33.250,167.500,0,OK
5056,0.327500,5.086250,32.750,166.250,0,OK
5076,0.332500,5.088750,33.250,170.000,0,OK
5096,0.330000,5.090000,33.000,167.500,0,OK
5116,0.327500,5.090000,32.750,166.250,0,OK
5136,0.330000,5.090000,33.000,167.500,0,OK
5156,0.337500,5.088750,32.750,166.250,0,OK
5176,0.327500,5.090000,33.000,167.500,0,OK
5196,0.330000,5.090000,32.750,166.250,0,OK
5216,0.330000,5.088750,33.000,167.500,0,OK
5236,0.330000,5.086250,33.000,167.500,0,OK
5256,0.332500,5.090000,33.250,170.000,0,OK
5276,0.332500,5.088750,33.250,170.000,0,OK
5296,0.330000,5.090000,33.000,167.500,0,OK
5316,0.330000,5.090000,33.000,167.500,0,OK
5336,0.330000,5.090000,33.000,167.500,0,OK
5356,0.327500,5.088750,32.750,166.250,0,OK
5376,0.332500,5.088750,33.000,167.500,0,OK
5396,0.330000,5.090000,33.000,167.500,0,OK
5416,0.330000,5.088750,33.000,167.500,0,OK
5436,0.330000,5.090000,33.000,167.500,0,OK
5456,0.327500,5.090000,32.750,166.250,0,OK
5476,0.330000,5.090000,33.000,167.500,0,OK
5496,0.330000,5.090000,33.000,167.500,0,OK
5516,0.330000,5.091250,33.000,167.500,0,OK
5536,0.327500,5.090000,33.000,167.500,0,OK
5556,0.330000,5.090000,33.250,167.500,0,OK
5576,0.327500,5.085000,32.750,166.250,0,OK
5596,0.330000,5.090000,33.000,167.500,0,OK
5616,0.332500,5.090000,33.250,170.000,0,OK
5636,0.327500,5.090000,32.750,166.250,0,OK
5656,0.330000,5.090000,33.000,167.500,0,OK
5676,0.330000,5.088750,33.000,167.500,0,OK
5696,0.327500,5.088750,32.750,166.250,0,OK
5716,0.330000,5.090000,32.750,166.250,0,OK
5736,0.332500,5.090000,33.250,167.500,0,OK
5756,0.335000,5.086250,33.500,170.000,0,OK
5776,0.332500,5.090000,33.250,170.000,0,OK
5796,0.327500,5.088750,32.750,166.250,0,OK
5816,0.330000,5.091250,33.000,167.500,0,OK
5836,0.330000,5.088750,33.000,167.500,0,OK
5856,0.330000,5.090000,33.000,167.500,0,OK
5876,0.330000,5.090000,33.250,170.000,0,OK
5896,0.330000,5.090000,32.500,167.500,0,OK
5916,0.330000,5.090000,33.000,167.500,0,OK
5936,0.330000,5.088750,33.000,167.500,0,OK
5956,0.330000,5.090000,33.000,167.500,0,OK
5976,0.327500,5.088750,32.750,166.250,0,OK
5996,0.330000,5.090000,33.000,167.500,0,OK
6016,0.332500,5.088750,33.250,170.000,0,OK
6036,0.330000,5.088750,33.000,167.500,0,OK
6056,0.327500,5.090000,33.000,167.500,0,OK
6076,0.332500,5.090000,33.000,167.500,0,OK
6096,0.327500,5.083750,32.750,166.250,0,OK
6116,0.327500,5.088750,32.750,166.250,0,OK
6136,0.332500,5.091250,33.250,170.000,0,OK
6156,0.332500,5.091250,33.250,170.000,0,OK
6176,0.327500,5.088750,32.750,166.250,0,OK
