condition,run,source_file,tx_bytes,period_ms,top_percent,cpu_I_idle_mA,cpu_I_active_mA,cpu_active_minus_idle_mA,active_start_s,active_end_s,active_mean_mA,active_std_mA,active_min_mA,active_max_mA,active_top5_mean_mA,active_top5_minus_mean_mA,final_idle_start_s,final_idle_end_s,final_idle_mean_mA,final_idle_std_mA,final_idle_min_mA,final_idle_max_mA,final_idle_top5_mean_mA,final_idle_top5_minus_mean_mA,active_mean_minus_final_idle_mean_mA,active_top5_minus_final_idle_top5_mA,excess_top5_mA,relative_excess_top5_gain,relative_active_top5_vs_idle_top5_gain
uart_512B_100ms,run1,data/processed/v3_ppk/peripheral/uart_tx_only/uart_512B_100ms/aligned_uart_512B_100ms_uart_512B_100ms_run1.csv,512,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.95812073079001,1.3932987068773608,40.85507,61.205496,49.36366951855927,2.4055487877692627,32.0,39.0,46.59078433663142,1.3556781869159111,40.85507,54.650156,49.274198327043436,2.6834139904120136,0.36733639415858477,0.08947119151583394,-0.27786520264275083,-0.013763334256753785,0.004431724100285007
uart_512B_100ms,run10,data/processed/v3_ppk/peripheral/uart_tx_only/uart_512B_100ms/aligned_uart_512B_100ms_uart_512B_100ms_run10.csv,512,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.320617937213,1.3910187928744884,0.0002,59.747598,48.42347121825609,2.102853281043089,32.0,39.0,46.55108211105,1.3690717706402606,40.130668,54.650156,49.27772256783688,2.726640456786882,-0.23046417383699946,-0.8542513495807924,-0.6237871757437929,-0.03089768464414888,-0.042313131517514285
uart_512B_100ms,run2,data/processed/v3_ppk/peripheral/uart_tx_only/uart_512B_100ms/aligned_uart_512B_100ms_uart_512B_100ms_run2.csv,512,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.567972598761,1.394181980826365,40.130668,61.205496,49.36418721856836,2.7962146198073583,32.0,39.0,46.73601088209714,1.3848927167030092,40.130668,55.377863,49.30327773270318,2.567266850606039,-0.1680382833361378,0.06090948586518152,0.22894776920131932,0.011340335691141588,0.0030169938711157433
uart_512B_100ms,run3,data/processed/v3_ppk/peripheral/uart_tx_only/uart_512B_100ms/aligned_uart_512B_100ms_uart_512B_100ms_run3.csv,512,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.731618176282005,1.392312646551637,40.130668,60.476465,49.34905359202541,2.617435415743408,32.0,39.0,46.45734071069714,1.3633735817967496,40.130668,56.833781,49.27032173638149,2.8129810256843513,0.2742774655848663,0.07873185564392315,-0.19554560994094317,-0.009685846109770921,0.003899778869666506
uart_512B_100ms,run4,data/processed/v3_ppk/peripheral/uart_tx_only/uart_512B_100ms/aligned_uart_512B_100ms_uart_512B_100ms_run4.csv,512,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.703446079817,1.398944685573316,40.130668,60.476465,49.35587035915792,2.65242427934092,32.0,39.0,46.43342509454715,1.3518708106749735,38.682355,53.922609,48.39824315218204,1.9648180576348935,0.2700209852698521,0.9576272069758787,0.6876062217060266,0.03405879605058382,0.047433587284825184
uart_512B_100ms,run5,data/processed/v3_ppk/peripheral/uart_tx_only/uart_512B_100ms/aligned_uart_512B_100ms_uart_512B_100ms_run5.csv,512,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.67710482830601,1.409041474069229,40.130668,61.205496,49.36127373986832,2.6841689115623097,32.0,39.0,46.607135578982856,1.3704395535780742,40.130668,53.922609,49.27516101051721,2.6680254315343532,0.06996924932315096,0.08611272935110748,0.016143480027956514,0.000799625536334825,0.004265371361899047
uart_512B_100ms,run6,data/processed/v3_ppk/peripheral/uart_tx_only/uart_512B_100ms/aligned_uart_512B_100ms_uart_512B_100ms_run6.csv,512,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.487928384326,1.382214522759759,40.130668,60.476465,49.3672956384072,2.8793672540812025,32.0,39.0,46.55955492726857,1.3757888801990488,38.682355,55.377863,49.28286340951486,2.7233084822462885,-0.07162654294257464,0.08443222889233937,0.156058771834914,0.0077299676966889564,0.004182132117428444
uart_512B_100ms,run7,data/processed/v3_ppk/peripheral/uart_tx_only/uart_512B_100ms/aligned_uart_512B_100ms_uart_512B_100ms_run7.csv,512,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.36569046277501,1.3951929331992912,38.682355,60.476465,48.43584576047008,2.0701552976950737,32.0,39.0,46.59586238824715,1.3643639371592622,40.130668,53.922609,49.27495475596301,2.6790923677158602,-0.23017192547214194,-0.8391089954929285,-0.6089370700207866,-0.03016212305935898,-0.04156309416572201
uart_512B_100ms,run8,data/processed/v3_ppk/peripheral/uart_tx_only/uart_512B_100ms/aligned_uart_512B_100ms_uart_512B_100ms_run8.csv,512,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.526326992245004,1.3989086913229167,38.682355,61.205496,49.377015805945675,2.850688813700671,32.0,39.0,46.20594968010571,1.3475238010188613,40.130668,53.19523,48.361598684234316,2.1556490041286054,0.32037731213929277,1.0154171217113586,0.6950398095720658,0.03442699960235704,0.050296061267205504
uart_512B_100ms,run9,data/processed/v3_ppk/peripheral/uart_tx_only/uart_512B_100ms/aligned_uart_512B_100ms_uart_512B_100ms_run9.csv,512,100,5.0,47.2668,67.4556,20.1888,20.0,30.0,46.515059956974,1.3938224494867066,40.85507,60.476465,49.381263671614924,2.8662037146409247,32.0,39.0,46.741412361135716,1.368737425932141,40.130668,54.650156,49.290376906825635,2.5489645456899197,-0.22635240416171598,0.09088676478928903,0.317239168951005,0.01571362185721811,0.004501840861729723
