condition,run,source_file,input_definition,segment,sample_count,MAE_mA,mean_error_mA,median_error_mA,positive_error_ratio
uart_256B_100ms,4,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run4.csv,occupancy,idle_all,2000000,1.1930480648212098,0.5683133907979231,0.6105460000000065,0.579634
uart_256B_100ms,4,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run4.csv,occupancy,initial_idle,999999,1.1640106103776107,0.48266526735626925,0.6105460000000065,0.5528235528235528
uart_256B_100ms,4,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run4.csv,occupancy,inter_burst,1555545,5.191085003652575,5.186492276983786,5.096945999999839,0.999277423668232
uart_256B_100ms,4,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run4.csv,pulse,burst,444455,20.44699229788843,20.44658298206228,20.799345998479744,0.9996445084429245
uart_256B_100ms,4,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run4.csv,pulse,final_idle,1000001,1.2219055600354771,0.6537394830476891,0.610546000000177,0.6064063935936064
uart_256B_100ms,4,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run4.csv,pulse,idle_all,2000000,1.1929581141540186,0.568202460739087,0.6105460000000065,0.579615
uart_256B_100ms,4,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run4.csv,pulse,initial_idle,999999,1.1640106103776107,0.48266526735626925,0.6105460000000065,0.5528235528235528
uart_256B_100ms,4,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run4.csv,pulse,inter_burst,1555545,1.3545614343262393,0.8284550732423025,0.610546000000177,0.6330231526571073
uart_256B_100ms,5,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run5.csv,occupancy,burst,444510,4.98236757700478,4.977472735759049,5.096945999999839,0.9991991181300758
uart_256B_100ms,5,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run5.csv,occupancy,final_idle,1000001,1.1652807705969925,0.5128335285033171,0.610546000000177,0.563009436990563
uart_256B_100ms,5,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run5.csv,occupancy,idle_all,2000001,1.1718613470372077,0.5220683246702613,0.6105460000000065,0.5656847171576415
uart_256B_100ms,5,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run5.csv,occupancy,initial_idle,1000000,1.1784419300580002,0.5313031300720018,0.6105460000000065,0.56836
uart_256B_100ms,5,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run5.csv,occupancy,inter_burst,1555490,4.994173868045276,4.988720966537707,5.096945999999839,0.9991372493555085
uart_256B_100ms,5,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run5.csv,pulse,burst,444510,20.231778454092456,20.2311713661883,20.793756719383346,0.9994893253245146
uart_256B_100ms,5,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run5.csv,pulse,final_idle,1000001,1.1651528428101792,0.5126116686075037,0.610546000000177,0.562949437050563
uart_256B_100ms,5,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run5.csv,pulse,idle_all,2000001,1.1717973831118194,0.5219573946668896,0.6105460000000065,0.5656547171726414
uart_256B_100ms,5,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run5.csv,pulse,initial_idle,1000000,1.1784419300580002,0.5313031300720018,0.6105460000000065,0.56836
uart_256B_100ms,5,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run5.csv,pulse,inter_burst,1555490,1.294890529004308,0.6306883015286948,0.610546000000177,0.5715170139313014
uart_256B_100ms,6,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run6.csv,occupancy,burst,444490,4.796493567468904,4.791563954757708,4.371054999999835,0.9991630857837072
uart_256B_100ms,6,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run6.csv,occupancy,final_idle,1000001,1.1301952083642697,0.3633071035907398,0.610546000000177,0.5144044855955144
uart_256B_100ms,6,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run6.csv,occupancy,idle_all,2000001,1.1503794795184998,0.43102190285147135,0.6105460000000065,0.5362222318888841
uart_256B_100ms,6,data/processed/v3_ppk/peripheral/uart_tx_only/uart_256B_100ms/aligned_uart_256B_100ms_uart_256B_100ms_run6.csv,occupancy,initial_idle,1000000,1.170563770857001,0.49873676982700205,0.6105460000000065,0.55804
